GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
01001,050,01,001,33860,388,,,Autauga County,54571,22135,43671,17662,54571,43671
01003,050,01,003,19300,380,,,Baldwin County,182265,104061,140415,74285,182265,140415
01005,050,01,005,21640,999,,,Barbour County,27457,11829,29038,12461,27457,29038
01007,050,01,007,13820,142,,,Bibb County,22915,8981,20826,8345,22915,20826
01009,050,01,009,13820,142,,,Blount County,57322,23887,51024,21158,57322,51024
01011,050,01,011,99999,999,,,Bullock County,10914,4493,11714,4727,10914,11714
01013,050,01,013,99999,999,,,Butler County,20947,9964,21399,9957,20947,21399
01015,050,01,015,11500,999,,,Calhoun County,118572,53289,112249,51322,118572,112249
01017,050,01,017,46740,122,,,Chambers County,34215,17004,36583,16256,34215,36583
01019,050,01,019,99999,999,,,Cherokee County,25989,16267,23988,14025,25989,23988
01021,050,01,021,13820,142,,,Chilton County,43643,19278,39593,17651,43643,39593
01023,050,01,023,99999,999,,,Choctaw County,13859,7269,15922,7839,13859,15922
01025,050,01,025,99999,999,,,Clarke County,25833,12638,27867,12631,25833,27867
01027,050,01,027,99999,999,,,Clay County,13932,6776,14254,6612,13932,14254
01029,050,01,029,99999,999,,,Cleburne County,14972,6718,14123,6189,14972,14123
01031,050,01,031,21460,222,,,Coffee County,49948,22330,43615,19837,49948,43615
01033,050,01,033,22520,999,,,Colbert County,54428,25758,54984,24980,54428,54984
01035,050,01,035,99999,999,,,Conecuh County,13228,7093,14089,7265,13228,14089
01037,050,01,037,10760,388,,,Coosa County,11539,6478,12202,6142,11539,12202
01039,050,01,039,99999,999,,,Covington County,37765,18829,37631,18578,37765,37631
01041,050,01,041,99999,999,,,Crenshaw County,13906,6735,13665,6644,13906,13665
01043,050,01,043,18980,142,,,Cullman County,80406,37054,77483,35233,80406,77483
01045,050,01,045,21460,222,,,Dale County,50251,22677,49129,21779,50251,49129
01047,050,01,047,42820,999,,,Dallas County,43820,20208,46365,20450,43820,46365
01049,050,01,049,22840,999,,,DeKalb County,71109,31109,64452,28051,71109,64452
01051,050,01,051,33860,388,,,Elmore County,79303,32657,65874,25733,79303,65874
01053,050,01,053,99999,999,,,Escambia County,38319,16486,38440,16544,38319,38440
01055,050,01,055,23460,999,,,Etowah County,104430,47454,103459,45959,104430,103459
01057,050,01,057,99999,999,,,Fayette County,17241,8437,18495,8472,17241,18495
01059,050,01,059,99999,999,,,Franklin County,31704,14022,31223,13749,31704,31223
01061,050,01,061,20020,222,,,Geneva County,26790,12687,25764,12115,26790,25764
01063,050,01,063,46220,999,,,Greene County,9045,5007,9974,5117,9045,9974
01065,050,01,065,46220,999,,,Hale County,15760,7655,17185,7756,15760,17185
01067,050,01,067,20020,222,,,Henry County,17302,8891,16310,8037,17302,16310
01069,050,01,069,20020,222,,,Houston County,101547,45319,88787,39571,101547,88787
01071,050,01,071,42460,999,,,Jackson County,53227,24786,53926,24168,53227,53926
01073,050,01,073,13820,142,,,Jefferson County,658466,300552,662047,288162,658466,662047
01075,050,01,075,99999,999,,,Lamar County,14564,7354,15904,7517,14564,15904
01077,050,01,077,22520,999,,,Lauderdale County,92709,43791,87966,40424,92709,87966
01079,050,01,079,19460,290,,,Lawrence County,34339,15229,34803,15009,34339,34803
01081,050,01,081,12220,194,,,Lee County,140247,62391,115092,50329,140247,115092
01083,050,01,083,26620,290,,,Limestone County,82782,34977,65676,26897,82782,65676
01085,050,01,085,33860,388,,,Lowndes County,11299,5140,13473,5801,11299,13473
01087,050,01,087,46260,194,,,Macon County,21452,10259,24105,10627,21452,24105
01089,050,01,089,26620,290,,,Madison County,334811,146447,276700,120288,334811,276700
01091,050,01,091,99999,999,,,Marengo County,21027,10237,22539,10127,21027,22539
01093,050,01,093,99999,999,,,Marion County,30776,14737,31214,14416,30776,31214
01095,050,01,095,10700,999,,,Marshall County,93019,40342,82231,36331,93019,82231
01097,050,01,097,33660,380,,,Mobile County,412992,178196,399843,165101,412992,399843
01099,050,01,099,99999,999,,,Monroe County,23068,11333,24324,11343,23068,24324
01101,050,01,101,33860,388,,,Montgomery County,229363,101641,223510,95437,229363,223510
01103,050,01,103,19460,290,,,Morgan County,119490,51193,111064,47388,119490,111064
01105,050,01,105,99999,999,,,Perry County,10591,4737,11861,5406,10591,11861
01107,050,01,107,99999,999,,,Pickens County,19746,9483,20949,9520,19746,20949
01109,050,01,109,45980,999,,,Pike County,32899,15267,29605,13981,32899,29605
01111,050,01,111,99999,999,,,Randolph County,22913,11982,22380,10285,22913,22380
01113,050,01,113,17980,194,,,Russell County,52947,24595,49756,22831,52947,49756
01115,050,01,115,13820,142,,,St. Clair County,83593,35541,64742,27303,83593,64742
01117,050,01,117,13820,142,,,Shelby County,195085,80970,143293,59302,195085,143293
01119,050,01,119,99999,999,,,Sumter County,13763,6786,14798,6953,13763,14798
01121,050,01,121,45180,999,,,Talladega County,82291,37088,80321,34469,82291,80321
01123,050,01,123,10760,388,,,Tallapoosa County,41616,22111,41475,20510,41616,41475
01125,050,01,125,46220,999,,,Tuscaloosa County,194656,84872,164875,71429,194656,164875
01127,050,01,127,13820,142,,,Walker County,67023,30816,70713,32417,67023,70713
01129,050,01,129,99999,999,,,Washington County,17581,8407,18097,8123,17581,18097
01131,050,01,131,99999,999,,,Wilcox County,11670,5649,13183,6183,11670,13183
01133,050,01,133,99999,999,,,Winston County,24484,13469,24843,12502,24484,24843
